,activity,location,postal code,contact,opening hours,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
150,Enjoy the city’s best rooftop dining,"78 Airport Blvd, Singapore 819666",819666,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.3602083,103.9897607
151,Party at Sentosa’s hottest new beach club,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
152,Sleep in a tent,"36 Siloso Beach Walk, #01-01, Sentosa Island, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
153,Brace the cold at Snow City,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
154,Go wild at Universal Studios,"21 Jurong Town Hall Rd, Singapore 609433",609433,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.3354029,103.735459
155,Soak up Chinese mythology,"8 Sentosa Gateway, Singapore 098269",098269,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.256752,103.820331
156,Unleash your inner Wonkas,"262 Pasir Panjang Rd, Singapore 118628",118628,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.285506,103.7831439
157,Let out your rage,"13 Dempsey Road, #01-03/04, Singapore 249674",249674,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.304632,103.810304
158,Dive into a pink world of ice cream,"📍490 MacPherson Rd, Singapore, 368198",368198,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.332126,103.883278
159,Take to the skies,"100 Loewen Road, Dempsey, Singapore 248837",248837,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.30273,103.812423
160,Admire quirky street art,"41 Imbiah Rd, Sentosa, Singapore 099707",099707,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.254966,103.81765
161,Visit the new Bird Paradise,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
162,Indulge at a hawker centre,"20 Mandai Lake Rd, Singapore 729825",729825,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.4067559,103.783213
163,Be thrilled on Sentosa Island,Various Locations ,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
164,Dine at Singapore’s only underwater restaurant,"Sentosa Island, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
165,Have a picnic in the sunshine,"Equarius Hotel, B1M West Carpark, Resorts World Sentosa ",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
166,Party at the best nightlife spots,"8 Marina Gardens Dr, Singapore 018951",018951,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.280635,103.87159
167,Take a ride on a cruise,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
168,Wander around Little India,"Clark Quay, Jetty, Singapore ",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
169,Travel back to the 60s,"Little India, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
170,Take a hike,"85 Desker Rd, Singapore ",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
171,Uncover Singapore’s hidden secret places,Various Locations ,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
172,Staycation at a lush hotel,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
173,Get up close with animals,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
174,Dance inside Singapore’s first AI-powered futuristic nightclub,"80 Mandai Lake Rd, Singapore 729826",729826,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.404971,103.790678
175,Skydive inside the world’s largest wind tunnel,"Orchard Central Level 11, 181 Orchard Rd, #11 – 01 / 02, Singapore 238896",238896,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.300934,103.840008
176,Go for a stroll around a beach carnival,"43 Siloso Beach Walk, #01-01, iFly, Singapore 099010",099010,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.252009,103.817604
177,Step inside a camera,"60 Siloso Beach Walk, Singapore 098997",098997,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.251383,103.817325
178,Heal your inner child at X-Scap8,"8C Jln Kledek, Singapore 199263",199263,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.303486,103.858994
179,Celebrate in the sky,"Orchard Road, Singapore ",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
180,Relax in a botanical eatery,"30 Raffles Ave, Singapore 039803",039803,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.289069,103.862943
181,Cosy up with a high tea,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
182,Explore the islands,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
183,Have a unique yacht picnic,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
184,Take the children to the new KidzWorld,"11 Cove Drive, Sentosa Cove, Singapore 098497",098497,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.245981,103.839186
185,Go crazy at KF1 Karting Circuit,"80 Mandai Lake Rd, Singapore 729826",729826,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.404971,103.790678
186,Get your adrenaline fix at the waterpark,"1 Turf Club Avenue, Singapore 738078",738078,not available,not available,not available,not available,not available,not available,not available,not available,not available,1.422209,103.762266
187,Go on an Instagrammable adventure,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
